Customer Name,Product Name,Category,Price,Discount (%),Rating,Reviews,Payment Method,Profit,State
Rahul,A Light in the Attic,Electronics,51.77,21,Three,435,Debit Card,10.51,Gujarat
Sneha,Tipping the Velvet,Electronics,53.74,37,One,409,UPI,9.83,Gujarat
Aditya,Soumission,Electronics,50.1,15,One,39,UPI,10.84,Delhi
Siddhi,Sharp Objects,Fashion,47.82,21,Four,494,Debit Card,6.08,Gujarat
Vivaan,Sapiens: A Brief History of Humankind,Home,54.23,17,Five,111,UPI,12.66,Tamil Nadu
Sneha,The Requiem Red,Books,22.65,25,One,44,Debit Card,6.14,Rajasthan
Aarav,The Dirty Little Secrets of Getting Your Dream Job,Beauty,33.34,17,Four,214,Cash on Delivery,6.31,Maharashtra
Aditya,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Beauty,17.93,27,Three,294,Credit Card,6.16,Delhi
Priya,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Home,22.6,5,Four,40,Credit Card,5.84,Rajasthan
Rahul,The Black Maria,Beauty,52.15,20,One,138,Credit Card,5.38,Gujarat
Rahul,"Starving Hearts (Triangular Trade Trilogy, #1)",Books,13.99,37,Two,373,UPI,4.29,Gujarat
Rahul,Shakespeare's Sonnets,Fashion,20.66,24,Four,345,Credit Card,5.35,Gujarat
Sneha,Set Me Free,Home,17.46,18,Five,371,Net Banking,3.8,Tamil Nadu
Aditya,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Fashion,52.29,35,Five,309,Debit Card,10.99,Maharashtra
Anaya,Rip it Up and Start Again,Beauty,35.02,25,Five,258,Debit Card,4.79,Gujarat
Priya,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Fashion,57.25,25,Three,291,Net Banking,13.38,Rajasthan
Aarav,Olio,Electronics,23.88,10,One,46,Credit Card,8.06,Maharashtra
Anaya,Mesaerion: The Best Science Fiction Stories 1800-1849,Home,37.59,35,One,84,Cash on Delivery,9.17,Delhi
Aditya,Libertarianism for Beginners,Beauty,51.33,5,Two,389,Credit Card,6.44,Karnataka
Rahul,It's Only the Himalayas,Home,45.17,32,Two,243,Net Banking,5.79,Rajasthan
Siddhi,In Her Wake,Home,12.84,45,One,70,UPI,3.63,Delhi
Aditya,How Music Works,Electronics,37.32,8,Two,290,Net Banking,7.96,Delhi
Anaya,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Beauty,30.52,35,Three,403,Debit Card,6.95,Delhi
Aditya,Chase Me (Paris Nights #2),Fashion,25.27,33,Five,297,Credit Card,2.85,Rajasthan
Rahul,Black Dust,Books,34.53,37,Five,302,Cash on Delivery,5.61,Maharashtra
Aditya,Birdsong: A Story in Pictures,Electronics,54.64,19,Three,413,Credit Card,18.63,Delhi
Sneha,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Electronics,22.5,36,Three,360,Debit Card,2.48,Maharashtra
Anaya,Aladdin and His Wonderful Lamp,Beauty,53.13,50,Three,312,Net Banking,14.45,Karnataka
Anaya,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Fashion,40.3,44,Five,230,Credit Card,7.92,Karnataka
Aditya,Wall and Piece,Home,44.18,14,Four,293,Credit Card,10.9,Karnataka
Rahul,The Four Agreements: A Practical Guide to Personal Freedom,Fashion,17.66,9,Five,108,Debit Card,4.55,Gujarat
Aditya,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Electronics,31.05,24,Three,268,Cash on Delivery,5.61,Maharashtra
Rahul,The Elephant Tree,Home,23.82,12,Five,413,Credit Card,6.94,Delhi
Rahul,The Bear and the Piano,Electronics,36.89,13,One,493,Net Banking,5.52,Gujarat
Sneha,Sophie's World,Home,15.94,43,Five,493,Net Banking,4.24,Maharashtra
Rahul,Penny Maybe,Electronics,33.29,6,Three,54,Net Banking,10.81,Tamil Nadu
Aarav,Maude (1883-1993):She Grew Up with the country,Home,18.02,5,Two,160,Debit Card,2.19,Maharashtra
Rahul,"In a Dark, Dark Wood",Fashion,19.63,35,One,454,Net Banking,6.18,Gujarat
Anaya,Behind Closed Doors,Fashion,52.22,46,Four,270,Debit Card,5.84,Delhi
Vivaan,You can't bury them all: Poems,Books,33.63,17,Two,27,Cash on Delivery,4.67,Rajasthan
Aarav,Slow States of Collapse: Poems,Electronics,57.31,24,Three,39,Cash on Delivery,17.46,Karnataka
Priya,Reasons to Stay Alive,Electronics,26.41,25,Two,117,Cash on Delivery,3.23,Maharashtra
Aarav,Private Paris (Private #10),Home,47.61,22,Five,202,Net Banking,15.22,Rajasthan
Vivaan,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Books,23.11,24,Five,165,Net Banking,3.7,Delhi
Siddhi,Without Borders (Wanderlove #1),Beauty,45.07,45,Two,470,Debit Card,12.38,Rajasthan
Aditya,When We Collided,Home,31.77,38,One,186,UPI,4.38,Delhi
Priya,"We Love You, Charlie Freeman",Books,50.27,34,Five,299,Net Banking,14.57,Tamil Nadu
Aditya,Untitled Collection: Sabbath Poems 2014,Home,14.27,33,Four,102,Cash on Delivery,2.38,Delhi
Anaya,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Fashion,44.18,48,Four,79,Net Banking,5.7,Karnataka
Siddhi,Unicorn Tracks,Electronics,18.78,21,Three,432,Net Banking,3.81,Delhi
Rahul,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Books,25.52,29,One,86,Debit Card,3.53,Rajasthan
